name,IDs,stakeholder_categories,Contents,date
josh #CUCUKMYAZ,@joshfoo,,RT @HanCardiomd: Pooled Patient-Level Analysis of Inclisiran Trials in Patients With Familial Hypercholesterolemia or Atherosclerosis by th…,2021-03-06T03:51:25+00:00
josh #CUCUKMYAZ,@joshfoo,,"Big Drops in LDL Cholesterol With Inclisiran, but US Clinicians Still Await Drug’s Approval  https://t.co/hwYwaxlDCh",2021-03-06T03:43:01+00:00
Dr. James Underberg,@lipiddoc,"Doctor,Investigator",RT @HanCardiomd: Pooled Patient-Level Analysis of Inclisiran Trials in Patients With Familial Hypercholesterolemia or Atherosclerosis by th…,2021-03-05T23:44:13+00:00
IQuESt,@IQuEStHouston,Org. Government,RT @BCMHeart: Congratulations to @virani_md for his expert role in Policy roundtable by Institute for Clinical Effectiveness and Review on…,2021-03-05T17:13:42+00:00
BCMHouston,@bcmhouston,Org. Provider,RT @BCMHeart: Congratulations to @virani_md for his expert role in Policy roundtable by Institute for Clinical Effectiveness and Review on…,2021-03-05T16:03:29+00:00
BCM Department of Medicine,@BCMDeptMedicine,Org. Provider,RT @BCMHeart: Congratulations to @virani_md for his expert role in Policy roundtable by Institute for Clinical Effectiveness and Review on…,2021-03-05T15:37:31+00:00
Umair Khalid,@Umair2017,HCP,RT @BCMHeart: Congratulations to @virani_md for his expert role in Policy roundtable by Institute for Clinical Effectiveness and Review on…,2021-03-04T23:55:25+00:00
Pim carlson,@pim_carlson,,"RT @ACCinTouch: Is inclisiran, a double-stranded small interfering RNA that suppresses proprotein convertase subtilisin–kexin type 9 transl…",2021-03-04T17:25:50+00:00
• nnn³⁹ 🌸,@Treborn27,,ละชื่อคือคล้าย inclisiran มาก อย่าง pitosilant เงี้ย พูดทีนี่คิดว่ายากลุ่มเดียวกัน,2021-03-04T17:20:48+00:00
BCM Cardiology,@BCMHeart,Org. Research/Academic,RT @BCMHeart: Congratulations to @virani_md for his expert role in Policy roundtable by Institute for Clinical Effectiveness and Review on…,2021-03-04T16:14:47+00:00
BCM Cardiology,@BCMHeart,Org. Research/Academic,"Congratulations to @virani_md for his expert role in Policy roundtable by Institute for Clinical Effectiveness and Review on “Bempedoic Acid & Inclisiran for pts with Heterozygous Familial Hypercholesterolemia & Secondary Prevention of ASCVD: Effectiveness & Value."" @vijay_nambi",2021-03-04T15:17:15+00:00
BCM Department of Medicine,@BCMDeptMedicine,Org. Provider,"RT @ACCinTouch: Is inclisiran, a double-stranded small interfering RNA that suppresses proprotein convertase subtilisin–kexin type 9 transl…",2021-03-04T14:04:19+00:00
"Joel Heart Prevention"" Kahn MD"," FACC""",@drjkahn,Doctor,"Big Drops in LDL Cholesterol With Inclisiran, but US Clinicians Still Await Drug’s Approval  https://t.co/2VmB5kIyfz #kahnchronicle"
Walden Julia,@WaldenJulia2,,RT @PZ_Nachrichten: Für Patienten mit schweren Fettstoffwechselstörungen steht eine neue Therapie zur Verfügung. Inclisiran ist eine interf…,2021-03-04T08:48:56+00:00
Pharmazeutische Zeitung,@PZ_Nachrichten,,"Für Patienten mit schweren Fettstoffwechselstörungen steht eine neue Therapie zur Verfügung. Inclisiran ist eine interferierende Ribonukleinsäure, die nach einer Starterphase nur alle sechs Monate gespritzt wird und LDL-Cholesterol sehr effektiv senkt https://t.co/didXim8Opa",2021-03-04T08:46:28+00:00
Diego Segura,@SeguraCardio,Individual Other Health,"RT @SeguraCardio: 📌Inclisiran: First Approval📝
#CardioEd #CardioTwitter https://t.co/rAeZeSDu4W",2021-03-04T07:39:46+00:00
★ɞabydatchinamoorthy★,@Babydatchu,,"RT @ACCinTouch: Is inclisiran, a double-stranded small interfering RNA that suppresses proprotein convertase subtilisin–kexin type 9 transl…",2021-03-04T02:51:18+00:00
"Carlos E. Nolasco M., MD, FACP, AHSCP-CHS",@CarlosNolascoMD,Doctor,"RT @ACCinTouch: Is inclisiran, a double-stranded small interfering RNA that suppresses proprotein convertase subtilisin–kexin type 9 transl…",2021-03-04T00:24:00+00:00
Francisco Córdova L.,@PanCordova,Doctor,"RT @ACCinTouch: Is inclisiran, a double-stranded small interfering RNA that suppresses proprotein convertase subtilisin–kexin type 9 transl…",2021-03-04T00:22:16+00:00
American College of Cardiology,@ACCinTouch,Org. Advocacy,"Is inclisiran, a double-stranded small interfering RNA that suppresses proprotein convertase subtilisin–kexin type 9 translation in the liver, effective for low-density lipoprotein cholesterol? Find out from @Lisa_Jackson_MD here: https://t.co/UvmDxQ3qWB #Diabetes #CVMetabolic",2021-03-04T00:22:00+00:00
Gerardo Viveros RGL.,@gerardo_viveros,,"🔹¿Al fin podremos contar con un fármaco para reducir poderosamente el LDL sin los efectos adversos de las estatinas a dosis altas en pacientes de alto riesgo?
👇🏻👇🏻
Big Drops in LDL Cholesterol With Inclisiran, but US Clinicians Still Await Drug’s Approval https://t.co/YaAONnPn9w",2021-03-04T00:19:14+00:00
Esteban Jódar Gimeno,@estebanjodar,"Doctor,Researcher/Academic","RT @mbotana: Metanálisis de los ensayos con #inclisirán Orion 9, 10, 11: efectivo, seguro y bien tolerado. - Pooled Patient-Level Analysis…",2021-03-03T19:04:24+00:00
Alejandra Durán,@sandradurandoc,"Doctor,Researcher/Academic","RT @mbotana: Metanálisis de los ensayos con #inclisirán Orion 9, 10, 11: efectivo, seguro y bien tolerado. - Pooled Patient-Level Analysis…",2021-03-03T18:48:07+00:00
Javier Escalada #Manténlasprecauciones,@fjavesc,Doctor,"RT @mbotana: Metanálisis de los ensayos con #inclisirán Orion 9, 10, 11: efectivo, seguro y bien tolerado. - Pooled Patient-Level Analysis…",2021-03-03T18:31:04+00:00
TCTMD,@TCTMD,Org. Media,"Big Drops in LDL Cholesterol With Inclisiran, but US Clinicians Still Await Drug’s Approval https://t.co/PfBgyVrPAl https://t.co/pFtQfOiYY0",2021-03-03T18:19:32+00:00
Michael O'Riordan,@michaelTCTMD,Doctor,"Big Drops in LDL Cholesterol With Inclisiran, but US Clinicians Still Await Drug’s Approval  https://t.co/AtTiLjtG9S",2021-03-03T18:16:18+00:00
Michael Alexander,@Michael_AlexO,,Inclisiran: a new milestone on the PCSK9 road to tackle cardiovascular risk https://t.co/eO41ODspGC,2021-03-03T17:03:26+00:00
Eduarda Pizarro,@ReinaBorg2,,"RT @mbotana: Metanálisis de los ensayos con #inclisirán Orion 9, 10, 11: efectivo, seguro y bien tolerado. - Pooled Patient-Level Analysis…",2021-03-03T15:53:39+00:00
"Henry Han, MBBS, MD",@HanCardiomd,Doctor,RT @precisiondiagn4: https://t.co/bETyg4UXfy,2021-03-03T14:56:59+00:00
Precision Diagnostics,@precisiondiagn4,,https://t.co/bETyg4UXfy,2021-03-03T14:40:07+00:00
ꦧꦶꦤ꧀ꦠꦺꦴꦤꦺꦴ,@Bintono,,RT @HanCardiomd: Pooled Patient-Level Analysis of Inclisiran Trials in Patients With Familial Hypercholesterolemia or Atherosclerosis by th…,2021-03-03T08:43:36+00:00
Judith López,@Judithendo,Doctor,"Nuevo mecanismo👌, MEJORA ADHERENCIA, no?",2021-03-03T06:05:57+00:00
رحلة الكلمة,@WBHC7UBE9laxU4y,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-03-03T05:51:05+00:00
Jorge Monroy,@jorgemonroys,,"RT @mbotana: Metanálisis de los ensayos con #inclisirán Orion 9, 10, 11: efectivo, seguro y bien tolerado. - Pooled Patient-Level Analysis…",2021-03-02T22:31:44+00:00
Sergio Hevia,@SerHevNav,Doctor,"RT @mbotana: Metanálisis de los ensayos con #inclisirán Orion 9, 10, 11: efectivo, seguro y bien tolerado. - Pooled Patient-Level Analysis…",2021-03-02T22:16:24+00:00
Diego Bellido,@DiegoBellido2,"Doctor,Researcher/Academic","RT @mbotana: Metanálisis de los ensayos con #inclisirán Orion 9, 10, 11: efectivo, seguro y bien tolerado. - Pooled Patient-Level Analysis…",2021-03-02T22:06:20+00:00
Juan Carlos Obaya. #ReforzarAtencionPrimaria,@jcobaya69,Doctor,"RT @mbotana: Y editorial:
- inclisirán inhibe la traducción del ARN de PCSK9 mediante un ARNip
- parece seguro y eficaz
- a la espera de má…",2021-03-02T21:45:31+00:00
Juan Carlos Obaya. #ReforzarAtencionPrimaria,@jcobaya69,Doctor,"RT @mbotana: Metanálisis de los ensayos con #inclisirán Orion 9, 10, 11: efectivo, seguro y bien tolerado. - Pooled Patient-Level Analysis…",2021-03-02T21:45:25+00:00
Isidoro Cano,@isidoro_cano,Doctor,"RT @mbotana: Metanálisis de los ensayos con #inclisirán Orion 9, 10, 11: efectivo, seguro y bien tolerado. - Pooled Patient-Level Analysis…",2021-03-02T21:43:47+00:00
Rodrigo Nunes Cal,@CalZole,Individual Other Health,RT @HanCardiomd: Pooled Patient-Level Analysis of Inclisiran Trials in Patients With Familial Hypercholesterolemia or Atherosclerosis by th…,2021-03-02T21:00:16+00:00
❥⊹⊱𝔽𝔸𝕀𝕊𝔸𝕃✯,@fissal330,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-03-02T20:37:50+00:00
Asociación Riesgo CV y Rehabilitación Cardiaca,@riesgo_SEC,,"RT @ValleAlfonso: Pooled Patient-Level Analysis of #Inclisiran Trials

inclisiran  in addition to maximally tolerated statin therapy w/out…",2021-03-02T20:33:51+00:00
Rosa Corcoy 😷 #YoTambienMeVacuno,@RosaCorcoy,Doctor,"RT @mbotana: Metanálisis de los ensayos con #inclisirán Orion 9, 10, 11: efectivo, seguro y bien tolerado. - Pooled Patient-Level Analysis…",2021-03-02T19:33:17+00:00
Jose Seijas Amigo,@AmigoSeijas,,"RT @JTLLERGO: ⚠️ INCLISIRAN + statin therapy with or without other LDL-C lowering agents in adults 
‼️With heterozygous familial hyperchole…",2021-03-02T19:24:14+00:00
Paco F.,@PacoFuentes5,Individual Other Health,"RT @mbotana: Metanálisis de los ensayos con #inclisirán Orion 9, 10, 11: efectivo, seguro y bien tolerado. - Pooled Patient-Level Analysis…",2021-03-02T18:47:03+00:00
Cristobal Morales,@CristobMorales,Doctor,"RT @mbotana: Metanálisis de los ensayos con #inclisirán Orion 9, 10, 11: efectivo, seguro y bien tolerado. - Pooled Patient-Level Analysis…",2021-03-02T18:30:37+00:00
Manuel Botana 🇪🇸,@mbotana,Doctor,"Y editorial:
- inclisirán inhibe la traducción del ARN de PCSK9 mediante un ARNip
- parece seguro y eficaz
- a la espera de más resultados y del coste de la terapia, los datos hasta ahora nos dan motivos para ser cautelosamente optimistas
- ¿game changer?
https://t.co/IxaH0qbWwb",2021-03-02T18:29:02+00:00
Manuel Botana 🇪🇸,@mbotana,Doctor,"Metanálisis de los ensayos con #inclisirán Orion 9, 10, 11: efectivo, seguro y bien tolerado. - Pooled Patient-Level Analysis of Inclisiran Trials in Patients With Familial Hypercholesterolemia or Atherosclerosis: https://t.co/KUiVTpLZ1d @sociedadSEEN https://t.co/Uq4QKRowLO",2021-03-02T18:29:02+00:00
ZagasYum,@zagasyum18,,RT @ValleAlfonso: @Flash77896822 @MAROSFO @R_Campuzano_R @varrarte @almucastro01 @acorderofort @JTLLERGO @secardiologia @sea_es 🔑inclisiran…,2021-03-02T18:21:55+00:00
"Michelle T. Lee, MD",@MTLeeMD,,RT @AliAghaBCM: Inclisiran: A Game Changer in a Changing Game? My latest publication in JACC with my outstanding mentor @vijay_nambi and th…,2021-03-02T17:49:55+00:00
Islam Adel,@IslamTalawy,,RT @HanCardiomd: Pooled Patient-Level Analysis of Inclisiran Trials in Patients With Familial Hypercholesterolemia or Atherosclerosis by th…,2021-03-02T15:10:06+00:00
"Henry Han, MBBS, MD",@HanCardiomd,Doctor,RT @MeralKayikcoglu: @HanCardiomd @JACCJournals @ProfKausikRay @DrScottMurray @lipiddoc @DavidLBrownMD @SABOURETCardio @jlipidres @ExpertLi…,2021-03-02T15:08:26+00:00
Prof Kausik Ray,@ProfKausikRay,Doctor,RT @HanCardiomd: Pooled Patient-Level Analysis of Inclisiran Trials in Patients With Familial Hypercholesterolemia or Atherosclerosis by th…,2021-03-02T15:01:00+00:00
Dr Meral Kayikcioglu,@MeralKayikcoglu,Doctor,@HanCardiomd @JACCJournals @ProfKausikRay @DrScottMurray @lipiddoc @DavidLBrownMD @SABOURETCardio @jlipidres @ExpertLipid @Drlipid @DrDePasquale @CMichaelGibson @BethFratesMD @MihaiTrofenciuc @CVR_TomaszGuzik @mmamas1973 Thanks Henry 🙏 💐So timely! I was writing about #inclisiran for our latest review on FH!,2021-03-02T15:00:36+00:00
Dr Meral Kayikcioglu,@MeralKayikcoglu,Doctor,RT @HanCardiomd: Pooled Patient-Level Analysis of Inclisiran Trials in Patients With Familial Hypercholesterolemia or Atherosclerosis by th…,2021-03-02T14:52:13+00:00
"Henry Han, MBBS, MD",@HanCardiomd,Doctor,Pooled Patient-Level Analysis of Inclisiran Trials in Patients With Familial Hypercholesterolemia or Atherosclerosis by the ORION Phase III Investigators https://t.co/HbwixQT5wO @JACCJournals @ProfKausikRay @DrScottMurray @lipiddoc @MeralKayikcoglu @DavidLBrownMD @SABOURETCardio https://t.co/EWBdhWArdY,2021-03-02T14:48:45+00:00
José Alvarado,@Jalvs86,,RT @AliAghaBCM: Inclisiran: A Game Changer in a Changing Game? My latest publication in JACC with my outstanding mentor @vijay_nambi and th…,2021-03-02T13:52:55+00:00
Rosa Fernandez,@MAROSFO,Doctor,"RT @JTLLERGO: ⚠️ INCLISIRAN + statin therapy with or without other LDL-C lowering agents in adults 
‼️With heterozygous familial hyperchole…",2021-03-02T13:13:48+00:00
Gabi LS,@erudainthur,,"RT @ValleAlfonso: Pooled Patient-Level Analysis of #Inclisiran Trials

inclisiran  in addition to maximally tolerated statin therapy w/out…",2021-03-02T11:10:22+00:00
Dr.Ashwag Hussain,@ashwag85178253,,"RT @drpablocorral: 💪Inclisiran: First Approval

👇👇👇
https://t.co/IjPEPPUeDw

@ProfKausikRay @SABOURETCardio @pabeda1 @rauldsf_santos @ErinM…",2021-03-02T10:43:33+00:00
Muhammad Tahir,@tauhair,,"RT @JTLLERGO: ⚠️ INCLISIRAN + statin therapy with or without other LDL-C lowering agents in adults 
‼️With heterozygous familial hyperchole…",2021-03-02T09:09:31+00:00
SACardiología,@SACardiologia,Org. Advocacy,"RT @JTLLERGO: ⚠️ INCLISIRAN + statin therapy with or without other LDL-C lowering agents in adults 
‼️With heterozygous familial hyperchole…",2021-03-02T07:41:11+00:00
Asociación Cardiología Clínica SEC,@clinica_sec,,"RT @JTLLERGO: ⚠️ INCLISIRAN + statin therapy with or without other LDL-C lowering agents in adults 
‼️With heterozygous familial hyperchole…",2021-03-02T07:40:30+00:00
Alberto Cordero,@acorderofort,Doctor,"RT @JTLLERGO: ⚠️ INCLISIRAN + statin therapy with or without other LDL-C lowering agents in adults 
‼️With heterozygous familial hyperchole…",2021-03-02T05:57:56+00:00
COR etc.,@cor_etc,,"RT @JTLLERGO: ⚠️ INCLISIRAN + statin therapy with or without other LDL-C lowering agents in adults 
‼️With heterozygous familial hyperchole…",2021-03-02T04:47:40+00:00
Fco Javier Gonzalez,@cardiofjgm,,"RT @SantasEnrique: Pooled-analysis from the ORION clinical trial programme @JACCJournals 

Inclisiran (iRNA that suppresses PCSK9) 2 💉 per…",2021-03-02T04:39:27+00:00
Bhupinder Thakur,@TheBhupiThakur,,RT @AliAghaBCM: Inclisiran: A Game Changer in a Changing Game? My latest publication in JACC with my outstanding mentor @vijay_nambi and th…,2021-03-02T04:38:47+00:00
Fco Javier Gonzalez,@cardiofjgm,,"RT @ValleAlfonso: Pooled Patient-Level Analysis of #Inclisiran Trials

inclisiran  in addition to maximally tolerated statin therapy w/out…",2021-03-02T04:37:03+00:00
Luis,@LuisRey2018,,"RT @ValleAlfonso: Pooled Patient-Level Analysis of #Inclisiran Trials

inclisiran  in addition to maximally tolerated statin therapy w/out…",2021-03-02T03:51:55+00:00
"Erin D. Michos, M.D.",@ErinMichos,"Doctor,Researcher/Academic","RT @ValleAlfonso: Pooled Patient-Level Analysis of #Inclisiran Trials

inclisiran  in addition to maximally tolerated statin therapy w/out…",2021-03-02T03:43:49+00:00
Colón Arteaga Macías СГАМ,@CGAM2016,Individual Other Health,"RT @JTLLERGO: ⚠️ INCLISIRAN + statin therapy with or without other LDL-C lowering agents in adults 
‼️With heterozygous familial hyperchole…",2021-03-02T03:33:17+00:00
Gina Vaccinated Lundberg MD FACC FAHA,@gina_lundberg,"Doctor,Researcher/Academic,Investigator",RT @AliAghaBCM: Inclisiran: A Game Changer in a Changing Game? My latest publication in JACC with my outstanding mentor @vijay_nambi and th…,2021-03-02T03:18:25+00:00
Raul Fonseca,@Rulex74c,,"RT @ValleAlfonso: Pooled Patient-Level Analysis of #Inclisiran Trials

inclisiran  in addition to maximally tolerated statin therapy w/out…",2021-03-02T02:59:36+00:00
German Ulloa,@GermanUlloa14,,RT @AliAghaBCM: Inclisiran: A Game Changer in a Changing Game? My latest publication in JACC with my outstanding mentor @vijay_nambi and th…,2021-03-02T02:16:28+00:00
Kamol,@KamolMU,,"RT @ValleAlfonso: Pooled Patient-Level Analysis of #Inclisiran Trials

inclisiran  in addition to maximally tolerated statin therapy w/out…",2021-03-02T01:06:00+00:00
Ana Maria Matias,@AMCMA6,Individual Non-Health,"RT @ValleAlfonso: Pooled Patient-Level Analysis of #Inclisiran Trials

inclisiran  in addition to maximally tolerated statin therapy w/out…",2021-03-02T00:37:37+00:00
LipidLover MD,@LipidLover1030,,"Yes it is!  Time to move on from 1980 statin tech & EMBRACE siRNA as first line. Use for ALL patients - young/old, rich/poor, men/women, white/black., etc. The adherence implications far outweigh any other factor when treating LDL-C. @nationallipid @ACCinTouch @American_Heart",2021-03-02T00:34:52+00:00
Josué,@Noinvasivo,,"RT @JTLLERGO: ⚠️ INCLISIRAN + statin therapy with or without other LDL-C lowering agents in adults 
‼️With heterozygous familial hyperchole…",2021-03-02T00:27:09+00:00
Najdat Bazarbashi,@NajdatBazarbas1,Doctor,RT @AliAghaBCM: Inclisiran: A Game Changer in a Changing Game? My latest publication in JACC with my outstanding mentor @vijay_nambi and th…,2021-03-02T00:04:09+00:00
Gonzalo Perez,@gonzaeperez,Doctor,"RT @ValleAlfonso: Pooled Patient-Level Analysis of #Inclisiran Trials

inclisiran  in addition to maximally tolerated statin therapy w/out…",2021-03-01T23:29:55+00:00
Carolina Ortiz,@Carol_O_C,Doctor,"RT @JTLLERGO: ⚠️ INCLISIRAN + statin therapy with or without other LDL-C lowering agents in adults 
‼️With heterozygous familial hyperchole…",2021-03-01T23:16:27+00:00
Djreys,@Djreys2,Doctor,"RT @JTLLERGO: ⚠️ INCLISIRAN + statin therapy with or without other LDL-C lowering agents in adults 
‼️With heterozygous familial hyperchole…",2021-03-01T22:57:10+00:00
